"doc","language"
"Avreste dovuto arrestarla.","ita"
"Этот стол круглый.","rus"
"Perché non volevi andare in Russia?","ita"
"Ils enquêtaient.","fra"
"We komen hier eenmaal per week bijeen.","nld"
"Onlar fiyat üzerinde anlaştılar.","tur"
"Tu es amoureux, n'est-ce pas ? J'arrive à le voir.","fra"
"Mine is 20 centimeters long.","eng"
"La knabo kiu ridas, estas Marko.","epo"
"Vazgeçemeyiz.","tur"
"Io ha le page de spada.","ina"
"Роса осідає рано-вранці.","ukr"
"Ttun ur ɣliqen tawwurt s tsarut.","ber"
"אני חוששת שאינני מסכימה איתך.","heb"
"Я так тебя люблю!","rus"
"Todo el vecindario estaba sorprendido con las novedades.","spa"
"Я не такий.","ukr"
"Tom onu imzalamaya zorlanıldığı için sözleşmenin geçersiz olduğunu iddia etti.","tur"
"Tenía la esperanza de terminarlo ayer.","spa"
"Кто тебе это прислал?","rus"
"La kadavro ankoraŭ ne surakviĝis.","epo"
"Kartını az önce aldım.","tur"
"私たちは時代遅れの習慣を廃止すべきだ。","jpn"
"Это табу.","rus"
"Я, наверное, потерял ключи.","rus"
"Ĉu nur tien, ĉu tien kaj reen? – ""Hm... lasu min pensi. Tien kaj reen.""","epo"
"Er bzw. er liebt sie bzw. sie.","deu"
"I don't understand women.","eng"
"Non c'è nulla di sessuale a riguardo.","ita"
"Doe de deur niet dicht.","nld"
"Ur ssalqyent imerjan-nni.","ber"
"Tom podváděl.","ces"
"Tiu ideo min obsedas.","epo"
"Mary serra sa poupée.","fra"
"Том заплёл свою бороду в косичку.","rus"
"Come osa dirmi una cosa del genere?","ita"
"Kvankam mi ne konsentas kun tio, kion vi diras, mi rekonas vian plenan rajton diri ĝin.","epo"
"Voor mij, fish and chips graag.","nld"
"Bakla ka ba?","tgl"
"America is more divided than ever.","eng"
"Yo también tengo un poco de sed.","spa"
"לדעתי זה פשוט לפתור את הבעיה.","heb"
"Для тебя так будет лучше.","rus"
"Pensa che Tom lo farebbe?","ita"
"I've got to help them.","eng"
"Education was mostly at home.","eng"
"Essa mulher é mais velha que eu.","por"
"Nežinau, ką be tavęs daryčiau.","lit"
"Você deveria ficar aqui por alguns dias.","por"
"Tiu ĉi estas la decida momento. Tio estas nun aŭ neniam.","epo"
"Я не пью уже восемь месяцев.","rus"
"Наравно.","srp"
"Japaners eet dree Maal an ’n Dag.","nds"
"Tom sadece bir tembel işe yaramaz.","tur"
"Okuldan sonra tenis oynayacak mısın?","tur"
"Tom was beginning to realize what was going on.","eng"
"Kie Tom naskiĝis?","epo"
"O, Boston'u özlüyor.","tur"
"ホワイト氏はカナダへ行きました。","jpn"
"Занятие начинается в восемь тридцать.","rus"
"Nie próbujcie mnie rozzłościć.","pol"
"Tom and Mary didn't do that alone.","eng"
"いいえ。私の名前はマリアではなく、テレサです。","jpn"
"لم يتكلم معها اي كلمة.","ara"
"Avait-elle le moindre ennemi ?","fra"
"Он ещё преподаёт?","rus"
"È equo.","ita"
"Давайте допомагати одна одній!","ukr"
"Akka kečč d usemmiḍ d amennuɣ alamma yuli wass.","kab"
"Tom'un kimi etkilemeye çalıştığı açık değil.","tur"
"De onde você tirou esse chapéu?","por"
"Sun pitäis käyttää dödöä.","fin"
"Quand la fête a-t-elle lieu ?","fra"
"Ne parolu, krom se oni sin turnas al vi!","epo"
"Kiom ili kostis?","epo"
"Werk en vermaak zijn beide nodig voor de gezondheid; het ene geeft ons rust, het andere geeft energie.","nld"
"Die weitere Untersuchung ergab, dass der Schädelknochen durch einen einzelnen schweren Schlag zertrümmert wurde.","deu"
"Onunla tanışmış olmak büyük bir onur.","tur"
"If that's true, then she's better than me.","eng"
"I ought to have a little talk with Tom.","eng"
"Me fulminó con la mirada.","spa"
"Welches Essen hast du gegessen?","deu"
"Die Liebe hat dich blind gemacht.","deu"
"Tom was barely able to keep the canoe from tipping over.","eng"
"त्याने एक उंदीर पकडला.","mar"
"Jeder, der Fleiß und Beharrlichkeit besitzt, vermag aus diesem reichen Born zu schöpfen.","deu"
"Van még egy megbontott tej a hűtőben.","hun"
"你有多少支铅笔？","cmn"
"Надявах се, че следващият понеделник вечер ще можеш да гледаш детето ни.","bul"
"Amiko, helpu min pro via boneco!","epo"
"Tom não vai revelar nomes.","por"
"Tom est un homme très discret.","fra"
"Bunun bulaşıcı olmadığını söylediğini düşündüm.","tur"
"I made up my mind to join a tennis club.","eng"
"Se não fosse pelo ar e pela água, nada poderia viver.","por"
"I have just now finished doing my English homework.","eng"
"Mi estas konstruisto.","epo"
"ספר לי איך אתה מרגיש.","heb"
"Per quanto io ricordi, lui raccontava a tutti questa storiella.","ita"
"La ragazza vede il ragazzo.","ita"
"Tom bazen okula yürür.","tur"
"J'ai envie de crier fort comme si j'étais une petite fille.","fra"
"Geçmişte ne olduğunu anlamam gerek.","tur"
"Cuando viajo a algún sitio nunca llevo mucho equipaje.","spa"
"Who were those guys?","eng"
"Мы не смогли с ними связаться.","rus"
"Вы хотите, чтобы я с ней поговорил?","rus"
"मी स्टेशनजवळ आहे.","mar"
"Не сакам да слушам за него.","mkd"
"אם אנו רוצים חיי שלווה, אין לנו אפשרות שלא להתנגד למלחמה.","heb"
"On mange de la nourriture.","fra"
"Tom tem sotaque britânico.","por"
"Tom and Mary have been told they shouldn't do that.","eng"
"Sami destroyed Layla's life.","eng"
"Kiel iu tiel riĉa povas tiom plendi?","epo"
"Ni ne havas talenton por matematiko.","epo"
"Mióta olyan fontos ez?","hun"
"Du burde sove.","dan"
"Wer glaubt, etwas zu sein, hat aufgehört, etwas zu werden.","deu"
"Tom inanılmaz bir adam.","tur"
"Parlo solo un po' di francese.","ita"
"Tu mėgsti dramblius.","lit"
"Том почти никогда не делает ошибок.","rus"
"Tom will so nicht länger leben.","deu"
"We're all nervous.","eng"
"Tom piegò il foglio.","ita"
"Which one of your guitars do you enjoy playing the most?","eng"
"You're so strong.","eng"
"Ad yexdem azekka?","kab"
"Я хочу любоваться этим пейзажем вечно.","rus"
"Nur weil du meine Liebste bist, muss ich längst nicht einer Meinung mit dir sein.","deu"
"Mia patro ofte iras al Parizo por negocaj aferoj.","epo"
"Sebebini anlıyor musun?","tur"
"Сыграйте что-нибудь весёленькое.","rus"
"Jesteś pełnoletni, musisz zacząć życie na własny rachunek.","pol"
"Si nieva mañana, haré un muñeco de nieve.","spa"
"Tettarram aṭas n sskeṛ i watay-nwen.","ber"
"Mindig elkésett az iskolából","hun"
"De repente, su cara estaba pálida.","spa"
"He reist geern mit ’n Fleger na ’t Butenland.","nds"
"Tuo padre aveva ragione.","ita"
"Tom başını tekrar derde sokmadan önce, o sadece zaman meselesidir.","tur"
"Давайте знову зберемося всі разом!","ukr"
"Sana gerçekten neler olduğunu söyleyeyim.","tur"
"जिम दरवाजा उघडतो.","mar"
"Mater mea caseum cultro secuit.","lat"
"Mija dokładnie tydzień, odkąd przyjechałem do Nowego Jorku.","pol"
"Tom bana gitmek isteyip istemediğimi sordu.","tur"
"Мои родители и младший брат, жившие в пригороде Токио, погибли в сильнейшем землетрясении.","rus"
"Al principio crearon el escritorio y el teléfono.","spa"
"Tutti si adeguano.","ita"
"Geef ze aan haar.","nld"
"त्यांनी डझनभर अंडी विकत घेतली.","mar"
"Früher habe ich Boston gehasst.","deu"
"Tio ne estis vera amo.","epo"
"我哋走咗去公園影相。","yue"
"Tom zog sich die Wunden nicht selbst zu.","deu"
"Zašto bi se Tom predao?","srp"
"Tom doesn't seem to be as devious as Mary seems to be.","eng"
"Sami iyi yaşam sahibiydi.","tur"
"Tom should've told Mary that he wanted to do that.","eng"
"Não quero me atrasar.","por"
"Tom tidak tahu bagaimana Mary berpakaian.","ind"
"שא בבקשה את הכלים שלך אל המטבח.","heb"
"Je ne veux pas vraiment que tu sois en colère après moi.","fra"
"Anyway, I don't like it.","eng"
"Alle Schüler in Finnland müssen beide Landessprachen lernen.","deu"
"وكما يقول القرآن الكريم: اتقوا الله وكونوا مع الصادقين.","ara"
"What are we looking at now?","eng"
"Basta! Gli stai facendo male!","ita"
"Tomin piti soittaa Marille eilen illalla, mutta hän unohti.","fin"
"Каква е истинската причина да не искаш да го правиш?","bul"
"It's as easy as that.","eng"
"Единствената работа што можам да ти ја кажам е дека имаше некаква врска со човек по име Том.","mkd"
"Tom likes him.","eng"
"Noi nu ne temem de moarte.","ron"
"Di che nazionalità erano le nostre studentesse? ""Bulgara.""","ita"
"Are you sure there's nobody out there?","eng"
"Seni tekrar görecek miyim?","tur"
"Telliḍ tesɛiḍ ccɣel iḍelli?","ber"
"Soffri di acidità di stomaco?","ita"
"Mária egy két lábon járó többnyelvű szótár.","hun"
"kasi kule pi insa poki li jelo.","toki"
"Je lui demanderai demain.","fra"
"C'est depuis qu'il a plu que ça marche pas.","fra"
"Mi morgaŭ havos rendevuon kun mia onklo.","epo"
"Jis neklauso savo tėvų.","lit"
"Kiel mi povas klarigi al mia edzo, ke li ĉagrenas min?","epo"
"Wenn eine Idee am Anfang nicht absurd klingt, dann gibt es keine Hoffnung für sie.","deu"
"Книгава е корисна.","mkd"
"Solo quiero saber qué ha ocurrido.","spa"
"Mi ne estas enskribita.","epo"
"Скажи, почему ты вчера не пришёл?","rus"
"הוא השיג את מה שהוא רצה.","heb"
"בכל מקרה דבוק בתוכניתך.","heb"
"Ви ходите по магазинах кожного дня?","ukr"
"As costas da Maria estão bem.","por"
"Das ist sehr verführerisch.","deu"
"Este livro te pertence.","por"
"Tom sabe que está morrendo.","por"
"Burada kalmaya karar verdim.","tur"
"La mia famiglia è numerosa.","ita"
"あなたは先月から日本にいますか。","jpn"
"The boy I helped is Tony.","eng"
"Canım suşi yemek istemiyor.","tur"
"Uns bleibt fast keine Zeit mehr.","deu"
"Cosa ha fatto Tom con i soldi?","ita"
"A che piano abitano?","ita"
"I would like to speak to the head nurse.","eng"
"Том говорит, что больше туда не пойдёт.","rus"
"Ben onu hala bilmiyorum.","tur"
"Tedlem.","ber"
"I knew that Tom wouldn't suspect anything.","eng"
"Vocês têm perguntas?","por"
"Siete libere di andare o rimanere.","ita"
"I heard that Tom wasn't a good teacher.","eng"
"Бесполезно с ним говорить.","rus"
"お金がないので、我々は旅を続けられなかった。","jpn"
"Brigitte è vostra amica?","ita"
"Isem-nnes uydi-nnek?","ber"
"Aloitamme pian työt.","fin"
"Sprechen Sie die Wahrheit!","deu"
"走吧！","cmn"
"Mary aveva bisogno di lei.","ita"
"Fadıl, dedektiflerin evinde kısaca arama yapmasına izin vermeyi kabul etti.","tur"
"C'est plutôt dur.","fra"
"ヨシヤは八歳のとき王となり、エルサレムで三十一年の間世を治めた。","jpn"
"Çok esaslı kadınmış!","tur"
"Io voglio che Tom viva.","ita"
"間違い電話だった。","jpn"
"Сейчас же полезай в машину.","rus"
"Wat is je lievelingskleur?","nld"
"Tom was a little taller than I was when we were in grade school.","eng"
"Я понятия не имею, куда Том пошёл.","rus"
"Том е последен.","mkd"
"Ĉu vi kredas je nifoj?","epo"
"Yella wasmi ay tecniḍ s tjapunit?","ber"
"הקהל מקשיב?","heb"
"Oni supozis, ke li estos tie je la oka, sed li ne aperis ĝis la deka.","epo"
"Bring your sister next time.","eng"
"Io studiara multo.","ina"
"Vi perdonerò solo per stavolta.","ita"
"Alcuni bambini stanno giocando nel parco.","ita"
"Erfülle dein Pflicht.","deu"
"Estavam todos presentes.","por"
"Ĉu vi dezirus demisii?","epo"
"I asked him to be here.","eng"
"On Calvary’s cross, where you and I were ransomed, Jesus Christ measured out His blood equally for each one of us.","eng"
"Il ne vous comprend pas.","fra"
"Tom putzt sich nach jeder Mahlzeit die Zähne.","deu"
"Ji dröfft nich son Kinnerkraam drieven.","nds"
"Bunu kendim yapmalıyım.","tur"
"彼のような警官は大嫌いだ。","jpn"
"Some men are as naïve as infants.","eng"
"Non attribue ulle importantia a su capricios.","ina"
"Lo voy a hacer, estéis o no de acuerdo.","spa"
"Tom is going to do that next Monday.","eng"
"Man inviterede dem ikke.","dan"
"Sois juste envers chacun, même envers tes ennemis.","fra"
"He can play tennis.","eng"
"Tom giver mig aldrig svar.","dan"
"Tom hat eine verstopfte Nase.","deu"
"Dove volete andare in vacanza? ""In Africa.""","ita"
"Non ha approvato il matrimonio di sua figlia.","ita"
"Yes, replied Mary decisively.","eng"
"I remain puzzled.","eng"
"A víz hideg volt.","hun"
"A língua oficial de Granada é o inglês.","por"
"فقد بصره.","ara"
"Tom ne olduğunu polislere söyledi mi?","tur"
"Климатикът не работи.","bul"
"У нас должно получиться.","rus"
"Ти — частина цього.","ukr"
"Tom convalesced near the ocean after his illness.","eng"
"Vendem-se sapatos naquela loja.","por"
"Sɛan akk ccɣel, ala nekk.","ber"
"मला अख्ख्या जगात सर्वात जास्त तेच हवं आहे.","mar"
"Do you really think that Tom will be reasonable?","eng"
"Das Wortungeheuer 'sesquipedalian' ist ein Beispiel für das, was es bezeichnet.","deu"
"Том никогаш не знаеше што точно се случува.","mkd"
"Deux fois sept égale quatorze.","fra"
"Nekk xeddmeɣ da.","ber"
"Ainda tenho que fazer algumas coisas.","por"
"Les élèves désobéirent à leur institutrice.","fra"
"The town continued growing.","eng"
"Saltamus.","lat"
"Все мне улыбались.","rus"
"Béla sok gondot okozott az apjának.","hun"
"Úgy beszélsz, mint a nagyim.","hun"
"Han spelar golf.","swe"
"Tom should have been able to do that without any help.","eng"
"I think he's losing his touch.","eng"
